iter	Passed	Remaining
0	2	289
1	5	263
2	7	257
3	9	238
4	12	237
5	14	229
6	16	220
7	18	213
8	20	205
9	21	195
10	23	186
11	24	179
12	25	172
13	26	165
14	28	159
15	29	154
16	30	150
17	32	145
18	33	141
19	34	137
20	35	132
21	36	128
22	37	124
23	38	121
24	39	117
25	40	114
26	41	111
27	42	108
28	42	105
29	43	102
30	44	99
31	45	97
32	46	94
33	47	92
34	48	90
35	49	87
36	50	85
37	51	83
38	52	81
39	53	79
40	53	77
41	54	75
42	55	73
43	56	71
44	56	69
45	57	67
46	58	66
47	59	64
48	60	63
49	61	61
50	62	60
51	63	58
52	64	57
53	65	55
54	65	53
55	66	52
56	67	51
57	68	49
58	69	48
59	70	47
60	71	45
61	72	44
62	73	43
63	74	41
64	75	40
65	76	39
66	77	38
67	78	36
68	79	35
69	79	34
70	80	33
71	81	31
72	82	30
73	83	29
74	84	28
75	85	26
76	86	25
77	87	24
78	88	23
79	89	22
80	90	21
81	91	20
82	92	18
83	93	17
84	94	16
85	94	15
86	95	14
87	96	13
88	97	12
89	98	10
90	99	9
91	100	8
92	101	7
93	102	6
94	103	5
95	104	4
96	105	3
97	106	2
98	107	1
99	107	0
